2020-02-06 20:05:10.4419 | TRACE | KorobDB001.Form1 | trace message
2020-02-06 20:05:10.4670 | DEBUG | KorobDB001.Form1 | debug message
2020-02-06 20:05:10.4670 | INFO | KorobDB001.Form1 | info message
2020-02-06 20:05:10.4670 | WARN | KorobDB001.Form1 | warn message
2020-02-06 20:05:10.4670 | ERROR | KorobDB001.Form1 | error message
2020-02-06 20:05:10.4670 | FATAL | KorobDB001.Form1 | fatal message
2020-02-06 20:05:19.9752 | TRACE | KorobDB001.Form1 | trace message
2020-02-06 20:05:19.9752 | DEBUG | KorobDB001.Form1 | debug message
2020-02-06 20:05:19.9752 | INFO | KorobDB001.Form1 | info message
2020-02-06 20:05:19.9752 | WARN | KorobDB001.Form1 | warn message
2020-02-06 20:05:19.9752 | ERROR | KorobDB001.Form1 | error message
2020-02-06 20:05:19.9752 | FATAL | KorobDB001.Form1 | fatal message
2020-02-06 20:10:51.9947 | TRACE | KorobDB001.Form1 | trace message
2020-02-06 20:10:52.0138 | DEBUG | KorobDB001.Form1 | debug message
2020-02-06 20:10:52.0138 | INFO | KorobDB001.Form1 | info message
2020-02-06 20:10:52.0138 | WARN | KorobDB001.Form1 | warn message
2020-02-06 20:10:52.0138 | ERROR | KorobDB001.Form1 | error message
2020-02-06 20:10:52.0138 | FATAL | KorobDB001.Form1 | fatal message
2020-02-06 20:10:59.9791 | TRACE | KorobDB001.Form1 | trace message
2020-02-06 20:10:59.9791 | DEBUG | KorobDB001.Form1 | debug message
2020-02-06 20:10:59.9791 | INFO | KorobDB001.Form1 | info message
2020-02-06 20:10:59.9791 | WARN | KorobDB001.Form1 | warn message
2020-02-06 20:10:59.9791 | ERROR | KorobDB001.Form1 | error message
2020-02-06 20:10:59.9791 | FATAL | KorobDB001.Form1 | fatal message
